,glob_occup_dist_avg,glob_idle_dist_avg,glob_demand_count,glob_demand_served,glob_demand_rejected,glob_demand_count_norm,glob_demand_served_norm,glob_demand_rejected_norm,glob_demand_rejected_per_veh,glob_demand_rejection_rate,glob_non_moving_time_rate,glob_non_mov_veh_rate,glob_veh_vacant_dens,glob_veh_density,glob_request_rate_per_veh,glob_request_rate_per_veh_per_min,glob_request_rate_per_min,glob_st_dev_idle,glob_st_dev_occup
0,21.89408866995074,1.6280788177339902,2434,2436,0,0.009934693877551021,0.009942857142857142,0.0,0.0,0.0,53.640776699029125,49.95631067961163,0.2520244897959183,0.5044897959183674,3.9385113268608416,0.019692556634304206,12.17,0.01273074619331119,0.09919997131807584
1,22.007065669160433,2.28927680798005,2420,2406,0,0.009877551020408163,0.009820408163265307,0.0,0.0,0.0,38.336497890295355,33.111814345991576,0.12812244897959188,0.38693877551020406,5.105485232067511,0.02552742616033755,12.1,0.02620827804052123,0.060840041963182885
2,21.753164556962027,1.0443037974683544,475,474,0,0.0019387755102040817,0.0019346938775510205,0.0,0.0,0.0,89.2797619047619,88.22817460317465,0.3629959183673471,0.4114285714285714,0.9424603174603174,0.004712301587301587,2.375,0.04791594441600341,0.6310384679756086
3,21.655874673629242,1.268929503916449,1918,1915,0,0.007828571428571428,0.007816326530612245,0.0,0.0,0.0,69.34287709497207,67.10265363128491,0.3922081632653061,0.5844897959183674,2.67877094972067,0.013393854748603351,9.59,0.028974316104032102,0.03780969397773076
4,22.47107438016529,1.8331611570247934,3890,3872,0,0.015877551020408165,0.015804081632653063,0.0,0.0,0.0,40.589646464646464,35.561868686868685,0.22991836734693877,0.6465306122448979,4.911616161616162,0.024558080808080807,19.45,0.013358392926822296,0.008480467673320512
5,22.293799212598426,2.2913385826771653,2027,2032,0,0.008273469387755103,0.008293877551020408,0.0,0.0,0.0,47.74372384937239,43.654811715481166,0.17034285714285713,0.3902040816326531,4.2405857740585775,0.021202928870292886,10.135,0.028682252368714172,0.3619057521630174
6,21.702503681885126,2.337260677466863,662,679,0,0.0027020408163265304,0.0027714285714285714,0.0,0.0,0.0,67.86811023622047,65.18503937007874,0.13515918367346938,0.2073469387755102,2.606299212598425,0.013031496062992125,3.31,0.05197411218685688,0.05042862647204942
7,22.383354350567465,2.2774274905422445,801,793,0,0.0032693877551020407,0.003236734693877551,0.0,0.0,0.0,66.74149659863946,63.71428571428572,0.15291428571428572,0.24,2.7244897959183674,0.013622448979591837,4.005,0.04513568106122079,0.6848771506337856
8,21.78984989278056,2.4982130092923516,1399,1399,0,0.005710204081632653,0.005710204081632653,0.0,0.0,0.0,50.03088235294118,46.06176470588236,0.1278448979591837,0.27755102040816326,4.114705882352941,0.020573529411764706,6.995,0.04005573512645817,0.08582552788784521
9,22.267352185089976,1.5906169665809768,3155,3112,0,0.012877551020408164,0.01270204081632653,0.0,0.0,0.0,49.00686813186813,44.70123626373626,0.2656530612244898,0.5942857142857143,4.333791208791209,0.021668956043956043,15.775,0.010514926394807235,0.11986329587812901
10,22.230583985550872,1.5466586393738713,1653,1661,0,0.006746938775510204,0.006779591836734694,0.0,0.0,0.0,60.81944444444444,57.493055555555536,0.23654285714285705,0.4114285714285714,3.2797619047619047,0.016398809523809524,8.265,0.013445587684903672,0.0435204649845065
11,22.21804845521227,1.622805067792843,4494,4499,0,0.018342857142857143,0.01836326530612245,0.0,0.0,0.0,42.58029978586724,38.22858672376873,0.29147346938775504,0.7624489795918368,4.811563169164883,0.02405781584582441,22.47,0.009290425471672028,0.24192572967185916
12,21.232929164007658,3.189534141671985,1538,1567,0,0.006277551020408163,0.006395918367346939,0.0,0.0,0.0,36.21666666666667,30.070000000000007,0.07364081632653063,0.24489795918367346,5.126666666666667,0.025633333333333334,7.69,0.055830761812777616,0.01955947994723367
13,22.59144893111639,2.058590657165479,1287,1263,0,0.0052530612244897955,0.005155102040816327,0.0,0.0,0.0,54.48391812865497,50.63450292397661,0.14136326530612245,0.27918367346938777,3.763157894736842,0.01881578947368421,6.435,0.029507932630759577,0.6803818602401318
14,21.947231833910035,3.5311418685121105,1169,1156,0,0.004771428571428571,0.004718367346938776,0.0,0.0,0.0,47.026978417266186,43.10431654676259,0.0978204081632653,0.22693877551020408,4.205035971223022,0.021025179856115107,5.845,0.07403025274912998,0.05695218692354464
15,22.0,1.6165244723843737,4490,4454,0,0.018326530612244898,0.018179591836734694,0.0,0.0,0.0,40.63882618510158,35.876410835214465,0.25948163265306134,0.723265306122449,5.067720090293454,0.02533860045146727,22.45,0.02412454400744995,0.01492371097349751
16,23.077114427860696,1.191542288557214,420,402,0,0.0017142857142857142,0.0016408163265306122,0.0,0.0,0.0,89.01351351351352,88.54617117117121,0.32093469387755114,0.36244897959183675,0.9459459459459459,0.00472972972972973,2.1,0.05814131031621237,0.4841872376855347
17,22.229908443540182,1.124618514750763,1980,1966,0,0.008081632653061225,0.008024489795918367,0.0,0.0,0.0,71.8658088235294,69.33455882352933,0.46185306122448927,0.6661224489795918,2.426470588235294,0.01213235294117647,9.9,0.002800592850177931,0.08472650696130131
18,22.04722222222222,2.433333333333333,1810,1800,0,0.007387755102040816,0.007346938775510204,0.0,0.0,0.0,46.26219512195122,41.676829268292686,0.13948979591836735,0.3346938775510204,4.414634146341464,0.022073170731707316,9.05,0.057195560191209326,0.11863508318199466
