v_comp,v_coop
4.787418918918919,4.957689189189189
4.787721120446003,4.958154618590027
4.788275476191762,4.958525930479581
4.788335289071741,4.9591573281780645
4.788744810204706,4.959753336018424
4.788671171390883,4.960340081379172
4.788887799752497,4.960701776199581
4.789093401478419,4.961229574335229
4.789473123464726,4.961478681026678
4.789617137729984,4.961971765737969
4.790111248937651,4.962443542225716
4.7904255187982745,4.96307839037288
4.790592648802294,4.963416360970174
4.791076058482447,4.963983784582074
4.79139869402195,4.9646158353575744
4.791764954384759,4.965214429914323
4.792198903322084,4.965581965551102
4.792623035161619,4.966064239269205
4.793072273801298,4.966499855560543
4.793430565868652,4.966993100612731
4.793837665506403,4.967192311235047
4.79404574749714,4.967664667697257
4.79423350893469,4.96804855596734
4.794560229033348,4.9687158766405
4.7948296910946455,4.969106318701879
4.795257706995544,4.969657346435434
4.795548105502873,4.970021036539098
4.795690470765793,4.970163558836784
4.79616831620423,4.97043733393425
4.796744008690257,4.97092955717588
4.796988394666495,4.971294724708059
4.796951994043193,4.971578451322188
4.797158215613903,4.972005682653793
4.797243694670493,4.972355472070787
4.797605814277349,4.972950275294413
4.797727688902006,4.973437138631511
4.797948420035231,4.9739000817201875
4.798154603162907,4.974330572296628
4.798539907046128,4.974900387310459
4.798649969952987,4.975379708805167
4.798750082991706,4.975875629887766
4.799286683244681,4.976438622497614
4.79974798221367,4.9770617568086575
4.800000269217139,4.977571182294186
4.80031593268595,4.9782300136416815
4.8006932195652,4.978817470251699
4.800815848883429,4.979350056125311
4.801119071817739,4.979988818178435
4.801261972955415,4.980416239967835
4.801334720574476,4.980737184962717
4.801775971183459,4.981279106429538
4.802279098445042,4.981554954660748
4.802687828307216,4.982034697893879
4.802962016218217,4.982516355233754
4.803108145965782,4.98304424106767
4.80342319481653,4.983580236388002
4.803688158677465,4.984184538840029
4.8039940368368255,4.984688122794278
4.804463416397689,4.985097837074492
4.804639292699148,4.985657357648647
4.805102921183631,4.986048711620494
4.805452850920854,4.986741761563523
4.805479045721203,4.987257794573856
4.805892042015799,4.9875048324549045
4.806152827443649,4.988013290768445
4.806384706354108,4.988433863950832
4.806707848212213,4.9890672205681845
4.807095703324767,4.98958011638608
4.807367272056322,4.990191271705719
4.808055205760693,4.990617638917141
4.808307105483742,4.990953576061955
4.808773997021512,4.99171541355468
4.809210082594243,4.992241603160682
4.8092163743250405,4.99309319351409
4.809661848723614,4.993502288886646
4.809953591473022,4.993901977185412
4.810338864332549,4.994414146182486
4.810810079962987,4.995110165508433
4.811016800981259,4.995581611925367
4.811207999824493,4.9961002323234975
4.811496664202986,4.996741962643292
4.811994772341377,4.997088960366682
4.812356331202403,4.997600709706127
4.812750740723238,4.998211759097887
4.8132200999125,4.998890868524636
4.813579759891421,4.999262762177294
4.814048969205124,4.999623647124157
4.814402214097561,5.000065014536807
4.814821698934432,5.000749762910809
4.815127380854868,5.001372834367983
4.815296373854683,5.001910592184656
4.815667624913673,5.002476476503203
4.81627165325325,5.0030303027916245
4.816749118835903,5.003632616203156
4.81686392056607,5.004218797639021
4.817387863150991,5.004921759811097
4.817675619985294,5.0055083317779
4.818060235734557,5.005896146285151
4.818602691028256,5.00667776849499
4.819242859391585,5.007048207981459
4.819253338325713,5.007441120701762
4.819449219375667,5.0077440078208495
4.819658657879571,5.008368600551663
4.820298695692938,5.008719004482983
4.820773069626839,5.00925775982475
4.82091878579957,5.010047875234598
4.821248553561242,5.010551577210732
4.821696011990804,5.011197808369413
4.821981463656567,5.011906745785532
4.822333010040443,5.012253325111313
4.822700462783649,5.013047111648036
4.823035631504891,5.013780920617865
4.823498728744152,5.014653792889088
4.824227697745667,5.015104015178974
4.824801101731801,5.015551960517324
4.825354947388206,5.016082403290005
4.825987319118877,5.016721083848045
4.826477535497943,5.017419506200406
4.82701805412616,5.0179647871411825
4.827635788900862,5.018175670462789
4.828356635317142,5.01884973240033
4.828866563853783,5.019476634667744
4.829424930350733,5.0201193795490955
4.829862943068798,5.0206357926101575
4.830137111842708,5.02142498285659
4.830522670711655,5.021963927263595
4.830762727610475,5.022600583995131
4.831247710569087,5.02328871373957
4.83160838249845,5.0237930272581
4.83193638249035,5.024592885073513
